File, Line, Severity, Id, Summary
temp\cmu_project\source\client\src\app.cpp,109,style,variableScope,The scope of the variable 'retvalue' can be reduced.
temp\cmu_project\source\common\NetworkTCP.cpp,116,style,variableScope,The scope of the variable 'line' can be reduced.
temp\cmu_project\source\common\NetworkTCP.cpp,43,warning,constStatement,Unused variable value 'TcpListenPort'
temp\cmu_project\source\common\TcpSendRecvJpeg.cpp,214,performance,passedByValue,Function parameter 'meta' should be passed by const reference.
temp\cmu_project\source\common\TcpSendRecvJpeg.cpp,144,style,unusedFunction,The function 'TcpRecvLoginData' is never used.
temp\cmu_project\source\custom\two-way-ssl-c\server.c,192,style,knownConditionTrueFalse,Condition 'do_work!=0' is always true
temp\cmu_project\source\custom\two-way-ssl-c\server.c,33,style,variableScope,The scope of the variable 'line' can be reduced.
temp\cmu_project\source\server\src\baseEngine.cpp,9,warning,uninitMemberVar,Member variable 'baseEngine::context' is not initialized in the constructor.
temp\cmu_project\source\server\src\common.cpp,50,style,variableScope,The scope of the variable 'entry' can be reduced.
temp\cmu_project\source\server\src\common.cpp,22,style,unusedFunction,The function 'calculateBindingBufferSizes' is never used.
temp\cmu_project\source\server\src\common.cpp,8,style,unusedFunction,The function 'safeCudaMalloc' is never used.
temp\cmu_project\source\server\src\faceNet.cpp,6,warning,uninitMemberVar,Member variable 'FaceNetClassifier::m_output' is not initialized in the constructor.
temp\cmu_project\source\server\src\faceNet.cpp,15,performance,useInitializationList,Variable 'm_gLogger' is assigned in constructor body. Consider performing initialization in initialization list.
temp\cmu_project\source\server\src\faceNet.cpp,16,performance,useInitializationList,Variable 'm_dtype' is assigned in constructor body. Consider performing initialization in initialization list.
temp\cmu_project\source\server\src\faceNet.cpp,17,performance,useInitializationList,Variable 'm_uffFile' is assigned in constructor body. Consider performing initialization in initialization list.
temp\cmu_project\source\server\src\faceNet.cpp,18,performance,useInitializationList,Variable 'm_engineFile' is assigned in constructor body. Consider performing initialization in initialization list.
temp\cmu_project\source\server\src\faceNet.cpp,213,style,variableScope,The scope of the variable 'currDistance' can be reduced.
temp\cmu_project\source\server\src\faceNet.cpp,216,style,unusedLabel,Label 'std' is not used.
temp\cmu_project\source\server\src\faceNet.cpp,7,performance,passedByValue,Function parameter 'uffFile' should be passed by const reference.
temp\cmu_project\source\server\src\faceNet.cpp,7,performance,passedByValue,Function parameter 'engineFile' should be passed by const reference.
temp\cmu_project\source\server\src\faceNet.cpp,182,performance,passedByValue,Function parameter 'outputBbox' should be passed by const reference.
temp\cmu_project\source\server\src\faceNet.cpp,183,performance,passedByValue,Function parameter 'className' should be passed by const reference.
temp\cmu_project\source\server\src\faceNet.cpp,200,performance,passedByValue,Function parameter 'outputBbox' should be passed by const reference.
temp\cmu_project\source\server\src\faceNet.cpp,259,performance,passedByValue,Function parameter 'outputBbox' should be passed by const reference.
temp\cmu_project\source\server\src\faceNet.cpp,109,performance,postfixOperator,Prefer prefix ++/-- operators for non-primitive types.
