File, Line, Severity, Id, Summary
cmu_project\source\Common\NetworkTCP.cpp,282,style,variableScope,The scope of the variable 'bytes_written' can be reduced.
cmu_project\source\Common\SG_InputBox.cpp,244,style,variableScope,The scope of the variable 'ret' can be reduced.
cmu_project\source\Common\SG_InputBox.cpp,244,style,unreadVariable,Variable 'ret' is assigned a value that is never used.
cmu_project\source\Common\SG_InputBox.cpp,257,style,unreadVariable,Variable 'ret' is assigned a value that is never used.
cmu_project\source\Common\SG_InputBox.cpp,265,style,unreadVariable,Variable 'ret' is assigned a value that is never used.
cmu_project\source\Common\SG_InputBox.cpp,170,style,unusedFunction,The function 'GetString' is never used.
cmu_project\source\Common\TcpSendRecvJpeg.cpp,46,style,unsignedLessThanZero,Checking if unsigned expression 'imagesize' is less than zero.
cmu_project\source\Common\utils.cpp,17,style,variableScope,The scope of the variable 's' can be reduced.
cmu_project\source\Common\utils.cpp,70,style,unreadVariable,Variable 'bufLen' is assigned a value that is never used.
cmu_project\source\LgFaceRecDemoTCP_Jetson_NanoV2\MTCNN_FaceDetection_TensorRT\src\baseEngine.cpp,6,warning,uninitMemberVar,Member variable 'baseEngine::context' is not initialized in the constructor.
cmu_project\source\LgFaceRecDemoTCP_Jetson_NanoV2\MTCNN_FaceDetection_TensorRT\src\rnet_rt.h,24,style,noExplicitConstructor,Class 'Rnet' has a constructor with 1 argument that is not explicit.
cmu_project\source\LgFaceRecDemoTCP_Jetson_NanoV2\MTCNN_FaceDetection_TensorRT\src\rnet_rt.h,17,style,missingOverride,The function 'init' overrides a function in a base class but is not marked with a 'override' specifier.
cmu_project\source\LgFaceRecDemoTCP_Jetson_NanoV2\src\rnet_rt.h,22,error,ctuOneDefinitionRuleViolation,The one definition rule is violated, different classes/structs have the same name 'Rnet'
cmu_project\source\LgFaceRecDemoTCP_Jetson_NanoV2\src\rnet_rt.h,24,style,noExplicitConstructor,Class 'Rnet' has a constructor with 1 argument that is not explicit.
cmu_project\source\LgFaceRecDemoTCP_Jetson_NanoV2\src\rnet_rt.h,17,style,missingOverride,The function 'init' overrides a function in a base class but is not marked with a 'override' specifier.
cmu_project\source\LgFaceRecDemoTCP_Jetson_NanoV2\MTCNN_FaceDetection_TensorRT\src\onet_rt.h,23,style,noExplicitConstructor,Class 'Onet' has a constructor with 1 argument that is not explicit.
cmu_project\source\LgFaceRecDemoTCP_Jetson_NanoV2\MTCNN_FaceDetection_TensorRT\src\onet_rt.h,16,style,missingOverride,The function 'init' overrides a function in a base class but is not marked with a 'override' specifier.
cmu_project\source\LgFaceRecDemoTCP_Jetson_NanoV2\src\onet_rt.h,21,error,ctuOneDefinitionRuleViolation,The one definition rule is violated, different classes/structs have the same name 'Onet'
cmu_project\source\LgFaceRecDemoTCP_Jetson_NanoV2\src\onet_rt.h,23,style,noExplicitConstructor,Class 'Onet' has a constructor with 1 argument that is not explicit.
cmu_project\source\LgFaceRecDemoTCP_Jetson_NanoV2\src\onet_rt.h,16,style,missingOverride,The function 'init' overrides a function in a base class but is not marked with a 'override' specifier.
cmu_project\source\LgFaceRecDemoTCP_Jetson_NanoV2\MTCNN_FaceDetection_TensorRT\src\pnet_rt.h,21,style,missingOverride,The function 'init' overrides a function in a base class but is not marked with a 'override' specifier.
cmu_project\source\LgFaceRecDemoTCP_Jetson_NanoV2\src\pnet_rt.h,28,error,ctuOneDefinitionRuleViolation,The one definition rule is violated, different classes/structs have the same name 'Pnet'
cmu_project\source\LgFaceRecDemoTCP_Jetson_NanoV2\src\pnet_rt.h,21,style,missingOverride,The function 'init' overrides a function in a base class but is not marked with a 'override' specifier.
